name;countryCode;xCoord;yCoord;zCoord;notes
Ittlingen;DE;-6340;0;7770;
Ludwigshafen am Rhein;DE;-8120;0;5670;
Maxdorf;DE;-9950;10;5950;
Neu Roggentin;DE;7900;-40;-18170;
Pötenitz;DE;4020;-40;-19090;
Schkeuditz;DE;6340;0;-3900;
Adavere;EE;48550;-30;-47490;
Ala;EE;48090;-40;-43970;
Anna;EE;47410;-40;-48810;
Jüri;EE;45730;-40;-50290;
Kambja;EE;51640;-20;-44130;
Karksi-Nuia;EE;47480;-40;-44010;
Kõpu;EE;47060;-30;-44460;
Kuusalu;EE;47840;-40;-51680;
Laagri;EE;43580;-40;-50210;
Luige;EE;44970;-40;-49820;
Maardu;EE;46300;-40;-51460;
Muuga;EE;46670;-40;-52000;
Rõngu;EE;49890;-40;-44180;
Saue;EE;43360;-40;-49750;
Tähtvere;EE;50090;-40;-46920;
Valga;EE;49820;-30;-42850;
A Seara;ES;-78080;10;27100;
Adelán;ES;-77640;-20;27240;
Alcaraz;ES;-61170;0;59470;
Algueña;ES;-53330;-20;61840;
Alhama de Murcia;ES;-58510;-30;65560;
Aracena;ES;-82060;0;59300;
Arganda del Rey;ES;-61770;-10;50890;
Arraizko Bentak;ES;-53210;0;36690;
Arroyo del Ojanco;ES;-63630;0;60510;
Azuel;ES;-70990;10;60220;
Calamocha;ES;-54530;-30;47610;
Calatayud;ES;-55330;-30;45020;
Castro de Ouro;ES;-77890;-20;27210;
Cervera de la Cañada;ES;-56130;-30;43460;
El Repilado;ES;-83710;0;58660;
El Romaní;ES;-51280;-20;59680;
Las Quintanillas;ES;-64810;10;36550;
Mahoya;ES;-54570;-10;62070;
Mariana;ES;-55480;-30;52240;
Mozárbez;ES;-74140;-20;45470;
Paracuellos;ES;-55480;-40;46280;
Piedrabuna;ES;-69750;0;55390;
Rosal de la Frontera;ES;-84790;-30;58240;
Santa Amalia;ES;-76300;0;54090;
Toledillo;ES;-60790;-10;41450;
Villamayor;ES;-73690;-10;42290;
Villapalacios;ES;-61930;0;59890;
Villastar;ES;-54160;-20;51860;
Espoo;FI;43200;-30;-56560;
Huittinen;FI;37240;-40;-60610;
Inkeroinen;FI;49590;10;-59460;
Lahdesjärvi;FI;40600;-20;-61550;
Mäntyluoto;FI;33850;-40;-62350;
Nokia;FI;39110;-30;-61200;
Tiiliruukki;FI;34630;-30;-61100;
Uusikaupunki;FI;34740;-40;-57630;
Vantaa;FI;44050;-30;-57560;
Aleria;FR;-6830;-40;47810;
Altillac;FR;-35840;0;27810;
Artix;FR;-48270;-40;35910;
Blagnac;FR;-40810;-10;34890;
Bourganeuf;FR;-35270;0;22650;
Brion-sur-Ource;FR;-23020;0;12740;
Bromont-Lamothe;FR;-31940;0;23420;
Corte;FR;-8330;-30;47380;
Courtenay;FR;-29940;10;11410;
Estissac;FR;-25950;10;10080;
Ferney-Voltaire;FR;-18150;0;22260;
Gagnac-sur-Garonne;FR;-39910;-30;34100;
Gonesse;FR;-28910;0;4800;
Goussainville;FR;-29520;0;3810;
Issoudun;FR;-33960;0;16600;
La Chapelle-Saint-Ursin;FR;-32640;-10;17390;
La Mède;FR;-25880;-20;38090;
La Primaube;FR;-34320;10;32480;
La Salle-de-Vihiers;FR;-43200;0;14260;
La Villeneuve;FR;-34510;0;22870;
Laroque Bouillac;FR;-35490;-10;30620;
Le Bourg;FR;-36100;-10;30030;
Le Pont;FR;-39130;-10;19770;
Le Temple;FR;-49270;0;26440;
Les Trois-Moutiers;FR;-41270;0;15390;
Létrade;FR;-33890;-10;23040;
Nyons;FR;-23500;0;33730;
Peyrat-le-Château;FR;-35720;-10;23120;
Poissy;FR;-32060;0;4970;
Pont-de-Labeaume;FR;-27750;-40;31440;
Ponte Leccia;FR;-8030;-40;45630;
Rigny-Ussé;FR;-39640;-10;14330;
Roissy-en-France;FR;-28850;0;4510;
Rosans;FR;-22280;20;33360;
Roumazières-Loubert;FR;-42370;0;23060;
Rousset;FR;-18600;-10;33410;
Saint-Céré;FR;-35680;0;29190;
Saint-Priest;FR;-22610;-10;25730;
Sartène;FR;-8980;-30;50610;
Selles-sur-Cher;FR;-35250;-40;14930;
Urbise;FR;-26900;-10;21690;
Vallet;FR;-45220;-20;13810;
Vimoutiers;FR;-39530;-40;5820;
Bibinje;HR;18480;-40;38290;
Blato;HR;20660;-30;27630;
Donje Taborište;HR;19370;0;30620;
Dubrovnik;HR;29810;10;44650;
Dugopolje;HR;23350;0;39130;
Grabovac;HR;19290;-20;32020;
Karlovac;HR;18890;-30;28940;
Plitvička Jezera;HR;19510;10;33020;
Senj;HR;16550;-30;32060;
Slunj;HR;19190;10;31010;
Vukovar;HR;32940;-30;29360;
Aosta;IT;-14480;30;26940;
Aprilia;IT;8700;-20;53090;
Artena;IT;8940;-30;52110;
Augusta;IT;17150;-40;76860;
Camponocecchio;IT;7200;-20;42150;
Cardedu;IT;-7790;-40;60350;
Castelnovo ne' Monti;IT;-2700;-20;35210;
Cuneo;IT;-13830;0;34570;
Dorgali;IT;-7820;-10;58610;
Ferrara;IT;3440;-10;32500;
Inveruno;IT;-9120;10;28340;
Modugno;IT;23830;-40;55130;
Monserrato;IT;-9100;-30;63210;
Monteduro;IT;-3830;0;35310;
Perfugas;IT;-9070;-40;55050;
Pesaro;IT;6600;-40;38580;
Piacenza;IT;-4550;-10;32440;
Ponte Taro;IT;-3890;-20;33300;
Pontedera;IT;-1020;-30;39060;
Porto Pozzo;IT;-7780;-40;53640;
Porto Torres;IT;-12380;-40;54660;
Postiglione;IT;17930;-10;59260;
Pozzuoli;IT;12500;-40;56220;
Reggio nell'Emilia;IT;-700;-10;34250;
Roveri;IT;3130;0;35010;
San Gregorio;IT;-7470;-40;62740;
Santacaterina;IT;13500;-30;51360;
Scorzo;IT;17160;10;58250;
Selvatelle;IT;-890;-30;40770;
Tavarnuzze;IT;1160;-10;40000;
Tragliatella Campitello;IT;4950;-20;47840;
Trestina;IT;4460;-20;41000;
Valentano;IT;3690;-20;46230;
Zola Predosa;IT;-70;-10;34830;
Ginkūnai;LT;43770;-30;-31430;
Karmėlava;LT;47190;-30;-26140;
Kartena;LT;38550;-30;-30990;
Kybartai;LT;42150;-30;-23460;
Lauksargiai;LT;40650;-30;-27410;
Naujieji Valkininkai;LT;48090;-30;-21640;
Panemunė;LT;39340;-30;-26290;
Pirčiupiai;LT;48770;-30;-22000;
Ramygala;LT;46020;-30;-28160;
Trakai;LT;46570;-30;-23330;
Vidiškiai;LT;48600;-30;-28470;
Baltezers;LV;45330;-40;-38330;
Dricāni;LV;53600;-30;-37910;
Eleja;LV;43630;-40;-33970;
Engure;LV;40300;-40;-39070;
Kūkas;LV;51370;-40;-35580;
Malta;LV;54410;-50;-34510;
Plācis;LV;46480;10;-39970;
Salacgrīva;LV;45050;-40;-42160;
Skrunda;LV;39460;-40;-34680;
Svente;LV;51460;-40;-32310;
Valka;LV;49560;-40;-42310;
Velēna;LV;50910;-30;-40010;
Vireši;LV;51170;-30;-41050;
Budečevica;ME;34710;40;41630;
Mahala;ME;33880;-40;47000;
Ribarevina;ME;36070;10;42570;
Rožaje;ME;37570;30;42920;
Dihovo;MK;43120;10;52810;
Izvor;MK;41530;-30;50560;
Podmolje;MK;42250;20;52170;
Vigeland;NO;-8500;-40;-43940;
Arrifana;PT;-79790;10;43880;
Cercal;PT;-91160;-40;58080;
Sonega;PT;-91460;-40;57640;
Souselas;PT;-85820;-30;44170;
Vale de Estrela;PT;-82110;10;44170;
2 Mai;RO;71920;-40;33790;
Afumați;RO;62540;-30;29650;
Aradul Nou;RO;42000;-20;24320;
Balș;RO;53080;-30;32390;
Bistricioara;RO;58000;-20;17230;
Borcea;RO;67380;-30;30540;
Borod;RO;46100;-30;18270;
Borsec;RO;57400;-10;17410;
Brăila;RO;67780;-40;26830;
Bran;RO;56880;10;26320;
Buchin;RO;46060;-40;29680;
Buzău;RO;63730;-20;26690;
Corunca;RO;54540;-30;21450;
Coșava;RO;45350;-20;25460;
Coșereni;RO;63100;-30;29030;
Deva;RO;48000;-30;25190;
Fântânele;RO;42490;-20;24320;
Filiași;RO;50770;-30;31800;
Gilău;RO;47940;-30;19190;
Giurgiu;RO;60760;-20;33440;
Grințieș;RO;57870;-20;17250;
Helegiu;RO;62490;-30;20400;
Ianca;RO;65530;-20;26400;
Ilia;RO;45780;-30;24260;
Lancrăm;RO;50470;-30;23050;
Lipova;RO;43840;-10;24010;
Lumina;RO;71060;-20;29560;
Luncani;RO;52210;-30;20930;
Mehadia;RO;45800;-30;30830;
Năvodari;RO;71330;-30;29400;
Ovidiu;RO;71020;-20;30120;
Poiana Largului;RO;59050;-10;16240;
Răzvani;RO;64760;-30;30890;
Reghin;RO;54450;-20;18260;
Rovinari;RO;49830;-30;30380;
Săcămaș;RO;46270;-30;24590;
Sântion;RO;43750;-40;19350;
Saschiz;RO;56530;-20;22800;
Sebeș;RO;49840;-20;23720;
Slatina;RO;55510;-30;31520;
Slobozia Oancea;RO;67880;-20;20550;
Smârdan;RO;68390;-30;26940;
Târgu Frumos;RO;62520;-10;15770;
Tileagd;RO;44670;-40;19220;
Toplița;RO;56760;-10;17760;
Uileacu de Criș;RO;44900;-40;18300;
Ungheni;RO;52740;-30;21190;
Valea Lupului;RO;63430;-20;15080;
Vârț;RO;49310;-30;29500;
Feketić;RS;35100;-30;27500;
Međuvršje;RS;38490;-10;37020;
Pančevo;RS;41190;-30;30250;
Paraćin;RS;42470;-20;36620;
Prokuplje;RS;43600;10;40730;
Užice;RS;37470;-10;37570;
Vršac;RS;42050;-30;30200;
Bol'shakovo;RU;37650;-30;-23600;
Cheryekha;RU;57790;-30;-43100;
Dobruchi;RU;54120;-30;-49550;
Feofilova Pustyn';RU;59020;-20;-46390;
Ivangorod;RU;54760;-30;-52580;
Krasnopolyanskoye;RU;39250;-30;-22880;
Lomonosov;RU;55520;-20;-55030;
Novokolkhoznoye;RU;37880;-20;-24740;
Opol'ye;RU;56220;-20;-53310;
Ostrogovitsy;RU;57550;-20;-52180;
Ostrov;RU;57900;-20;-41340;
Sabsk;RU;58050;-30;-51550;
Shcheglovo;RU;63020;-30;-58290;
Sitenka;RU;59020;-30;-51290;
Sovetsk;RU;38910;-30;-25520;
Spitsino;RU;54240;-40;-47930;
Staraya;RU;62760;-30;-57740;
Stremutka;RU;57690;-20;-42490;
Vyra;RU;59690;-30;-52600;
Vyshgorodok;RU;56350;-30;-39080;
Yelizarovo;RU;55310;-30;-46820;
Åtvidaberg;SE;19860;-30;-41600;
Falköping;SE;11610;-30;-42540;inaccessible
Grästorp;SE;9380;-30;-43550;
Halmstad;SE;10000;-30;-33740;inaccessible
Motala;SE;16650;-40;-44130;
Bertoki;SI;11370;-20;30260;
Kozina;SI;13270;-20;28750;
Ahmediye;TR;72710;-20;46880;
Kuzucu;TR;66390;-10;47680;
Yenice;TR;70950;-30;48980;
Çagllavicë;XK;43010;0;44750;
Fushë Kosovë;XK;41600;-20;43650;
